,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
909,2.92,2.82,0.0,4,0.858,0.86,3,395,0.005,0.192,0.068,0.701,0.795,0.0,0.185,0.005,0.081,0.081,0.29,0.5770000000000001,4,4,4,4,4,0.82,4,0.82,2,3,0.903,0.75,3,0.967,0.91,3,14.0
39,1.87,2.26,78.0,3,68.1,77.0,2,343,29.4,16.6,76.7,46.4,41.1,0.6,4.1,12.2,18.4,18.4,29.9,90.5,4,4,4,4,4,81.0,4,77.0,3,3,90.3,90.0,4,97.3,87.0,3,2.8
30,2.23,2.07,88.0,3,80.4,86.0,3,355,3.7,24.2,10.4,68.7,68.5,0.6,24.5,1.7,9.9,9.9,53.4,67.9,3,3,3,3,3,84.0,3,78.0,3,3,81.9,83.0,3,96.7,92.0,3,3.0
242,2.21,1.95,87.0,2,74.4,77.0,2,92,1.1,82.6,1.1,60.9,14.1,13.0,34.8,1.1,14.1,14.1,65.0,63.6,2,3,2,3,2,90.0,2,87.0,3,2,78.9,90.0,2,97.2,83.0,2,4.6
988,2.48,2.14,0.0,3,0.8140000000000001,0.99,4,487,0.027000000000000003,0.17,0.166,0.598,0.758,0.023,0.287,0.031,0.185,0.185,0.227,0.677,3,3,3,3,3,0.9,3,0.98,4,4,0.882,0.76,0,0.98,0.95,4,10.0
136,2.17,2.04,97.0,4,85.9,94.0,4,336,1.5,33.6,21.4,68.2,60.7,3.0,19.6,1.2,24.4,24.4,52.3,56.5,3,2,2,3,2,96.0,2,85.0,4,2,79.2,88.0,3,96.9,96.0,4,3.2
310,2.24,2.07,81.0,3,71.0,85.0,3,319,0.0,88.1,2.2,53.3,11.3,2.5,27.6,0.3,15.4,15.4,52.8,55.0,3,3,3,4,3,83.0,3,71.0,2,2,78.1,80.0,3,97.1,87.0,3,8.5
1101,2.52,2.23,0.0,3,0.6679999999999999,0.79,3,838,0.047,0.5920000000000001,0.062,0.496,0.32,0.005,0.257,0.02,0.101,0.101,0.403,0.818,3,2,3,3,3,0.75,2,0.8,2,2,0.8390000000000001,0.65,3,0.957,0.87,3,3.8
1049,2.48,2.1,0.0,4,0.7859999999999999,0.93,4,242,0.004,0.095,0.157,0.579,0.855,0.004,0.252,0.012,0.112,0.112,0.502,0.688,4,3,4,4,4,0.87,4,0.87,3,3,0.818,0.83,3,0.987,0.95,4,6.0
3,2.28,2.09,76.0,2,76.7,69.0,2,363,5.8,39.9,9.1,59.5,51.2,14.6,28.4,2.5,14.9,14.9,64.7,69.0,3,2,2,2,2,86.0,2,70.0,2,2,76.8,81.0,2,97.1,82.0,2,1.9
581,2.51,2.39,0.0,4,0.747,0.82,3,544,0.057,0.336,0.061,0.579,0.568,0.0,0.246,0.017,0.121,0.121,0.297,0.903,4,3,4,4,4,0.83,4,0.72,2,3,0.8740000000000001,0.69,3,0.965,0.88,3,12.0
629,2.55,2.43,0.0,3,0.726,0.73,2,913,0.035,0.353,0.08,0.536,0.5820000000000001,0.022,0.198,0.02,0.091,0.091,0.354,0.77,4,3,4,4,3,0.71,3,0.81,3,3,0.867,0.67,3,0.953,0.81,3,5.8
1057,2.54,2.25,0.0,3,0.753,0.84,3,268,0.168,0.358,0.381,0.418,0.063,0.0,0.142,0.366,0.134,0.134,0.421,0.522,4,3,3,4,3,0.78,3,0.85,3,3,0.845,0.68,3,0.971,0.89,3,5.8
