,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
700,18K642_2016,URBAN ACTION ACADEMY,62.7,2.38,2.12,,3,0.6409999999999999,0.8,3,293,0.02,0.792,0.109,0.43,0.113,0.051,0.225,0.048,0.13,0.13,0.539,0.583,3,2,2,3,3,0.79,2,0.81,3,2,0.804,0.61,2,0.986,0.81,2,3.0
701,19K404_2016,ACADEMY FOR YOUNG WRITERS,88.7,2.81,2.31,,4,0.701,0.87,3,374,0.013000000000000001,0.741,0.008,0.47600000000000003,0.222,0.0,0.19,0.005,0.051,0.051,0.386,0.574,4,4,4,4,4,0.76,4,0.84,3,2,0.893,0.66,3,0.97,0.89,3,5.9
702,19K409_2016,EAST NEW YORK FAMILY ACADEMY,86.2,2.63,2.48,,3,0.72,0.94,4,281,0.018000000000000002,0.626,0.032,0.502,0.342,0.006999999999999999,0.18899999999999997,0.006999999999999999,0.053,0.053,0.348,0.735,3,2,3,3,2,0.85,2,0.87,3,2,0.897,0.69,3,0.968,0.9,3,2.6
703,19K502_2016,FDNY  CAPTAIN VERNON A RICHARDS HIGH SCHOOL FOR FI,79.2,2.34,2.09,,3,0.762,0.86,3,334,0.012,0.701,0.054000000000000006,0.584,0.263,0.042,0.26,0.015,0.12,0.12,0.48,0.7,3,3,3,3,3,0.83,3,0.95,4,3,0.8140000000000001,0.63,2,0.9540000000000001,0.85,3,8.9
704,19K504_2016,HIGH SCHOOL FOR CIVIL RIGHTS,47.4,2.28,2.05,,2,0.774,0.73,2,293,0.006999999999999999,0.7509999999999999,0.061,0.5489999999999999,0.225,0.003,0.239,0.006999999999999999,0.22899999999999998,0.22899999999999998,0.6920000000000001,0.9470000000000001,2,2,2,2,2,0.56,1,0.84,3,2,0.721,0.65,2,0.9670000000000001,0.8,3,9.9
705,19K507_2016,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,72.2,2.45,2.18,,3,0.778,0.84,3,441,0.013999999999999999,0.7509999999999999,0.032,0.61,0.22399999999999998,0.045,0.215,0.005,0.14300000000000002,0.14300000000000002,0.401,0.75,3,2,3,3,3,0.89,3,0.86,3,2,0.84,0.66,3,0.97,0.87,3,3.0
706,19K510_2016,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,73.9,2.4,2.13,,3,0.774,0.89,3,251,0.04,0.737,0.096,0.5660000000000001,0.187,0.008,0.183,0.012,0.135,0.135,0.508,0.667,3,2,3,3,2,0.89,3,0.78,3,2,0.825,0.65,2,0.983,0.88,3,2.7
707,19K583_2016,MULTICULTURAL HIGH SCHOOL,60.9,1.87,2.0,,3,0.96,0.89,3,208,0.0,0.005,0.899,0.462,0.986,0.005,0.028999999999999998,0.01,0.139,0.139,0.359,0.765,3,3,3,3,3,0.88,3,0.81,3,2,0.893,0.8,3,0.972,0.88,3,4.8
708,19K615_2016,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,65.4,2.43,2.26,,2,0.7120000000000001,0.7,2,1023,0.055,0.626,0.05,0.544,0.28300000000000003,0.055999999999999994,0.255,0.017,0.08800000000000001,0.08800000000000001,0.34,0.87,3,2,2,3,3,0.71,2,0.77,2,2,0.851,0.57,3,0.9570000000000001,0.81,2,2.8
709,19K618_2016,ACADEMY OF INNOVATIVE TECHNOLOGY,71.3,2.44,2.18,,4,0.7090000000000001,0.95,4,406,0.049,0.466,0.081,0.53,0.44299999999999995,0.025,0.24600000000000002,0.015,0.091,0.091,0.395,0.684,4,3,4,4,4,0.85,4,0.81,3,3,0.86,0.72,3,0.975,0.94,4,8.0
710,19K639_2016,BROOKLYN LAB SCHOOL,58.0,2.32,2.1,,2,0.802,0.68,2,330,0.067,0.391,0.133,0.615,0.509,0.012,0.233,0.021,0.16699999999999998,0.16699999999999998,0.622,0.762,2,2,3,3,2,0.65,2,0.86,3,2,0.755,0.61,2,0.966,0.8,3,4.8
711,19K659_2016,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,73.2,2.38,2.18,,3,0.7829999999999999,0.74,3,232,0.069,0.207,0.18100000000000002,0.608,0.659,0.017,0.18100000000000002,0.043,0.11599999999999999,0.11599999999999999,0.419,0.7390000000000001,3,3,3,4,3,0.78,3,0.92,4,3,0.8320000000000001,0.7,3,0.961,0.79,3,3.9
712,19K660_2016,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,60.4,2.28,2.04,,3,0.7829999999999999,0.86,3,498,0.013999999999999999,0.6829999999999999,0.06,0.627,0.28300000000000003,0.147,0.307,0.008,0.155,0.155,0.5589999999999999,0.976,3,2,3,3,3,0.78,3,0.8,3,3,0.7440000000000001,0.66,2,0.956,0.86,3,7.8
