DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
28Q680,Queens Gateway to Health Sciences Secondary School,High School,779,Meeting Target,Meeting Target,Exceeding Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Exceeding Target,85%,59%,82%,45%,66%,64%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"November 13-14, 2013",3.28,2.98,0.20%,6.80%,0.00%,41.00%,1.60%,29.80%,43.30%,38.20%,14.20%,2.90%,3.2,87.50%,95.50%,9.60%,95.60%
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,High School,1035,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,87%,88%,85%,86%,73%,90%,Proficient,Proficient,Well Developed,Well Developed,Well Developed,25-Nov-14,2.6,2.44,3.20%,15.50%,2.80%,41.00%,2.40%,30.50%,11.00%,4.20%,46.90%,35.70%,3,77.80%,91.10%,26.10%,97.40%
28Q687,Queens High School for the Sciences at York Colleg,High School,426,Meeting Target,Meeting Target,N/A,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,92%,92%,94%,88%,69%,90%,Proficient,Proficient,Developing,Proficient,Proficient,1-Apr-15,3.78,3.98,0.00%,0.00%,0.00%,31.10%,1.90%,18.50%,75.40%,7.00%,10.60%,6.10%,1.8,92.30%,96.90%,4.70%,94.60%
28Q690,High School for Law Enforcement and Public Safety,High School,604,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,81%,80%,75%,77%,66%,84%,Developing,Proficient,Developing,Proficient,Developing,23-Apr-15,2.41,2.25,2.20%,18.90%,8.60%,55.60%,5.10%,44.20%,10.40%,66.40%,18.90%,1.80%,1.5,87.50%,92.70%,20.00%,94.20%
28Q896,"Young Women's Leadership School, Queens",High School,557,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,83%,85%,79%,80%,76%,87%,Proficient,Developing,Developing,Well Developed,Developing,"March 12-13, 2014",2.63,2.29,1.90%,16.30%,0.00%,49.60%,3.10%,39.40%,26.90%,47.50%,19.70%,1.90%,2,77.10%,91.10%,30.00%,95.70%
29Q243,Institute for Health Professions at Cambria Height,High School,199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86%,98%,85%,98%,78%,95%,Proficient,Developing,Proficient,Proficient,Proficient,10-Dec-14,2.41,2.29,5.50%,11.60%,0.50%,45.70%,9.50%,31.20%,9.00%,73.90%,12.60%,1.00%,2,66.70%,91.00%,24.10%,96.90%
29Q248,Queens Preparatory Academy,High School,492,N/A,N/A,Meeting Target,N/A,N/A,N/A,Meeting Target,90%,87%,74%,80%,68%,81%,Proficient,Developing,Developing,Proficient,Proficient,15-Jan-15,2.33,2.17,3.70%,13.80%,0.60%,47.00%,8.10%,32.70%,4.30%,80.70%,9.10%,1.00%,10,69.20%,86.60%,34.50%,96.80%
29Q259,Pathways College Preparatory School: A College Boa,High School,599,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,86%,83%,84%,76%,75%,85%,Proficient,Developing,Proficient,Proficient,Proficient,13-May-15,2.34,2.15,3.90%,15.80%,0.50%,39.60%,4.10%,28.70%,2.80%,89.70%,5.70%,1.30%,4.8,80.00%,90.50%,17.80%,94.40%
29Q265,Excelsior Preparatory High School,High School,491,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,89%,94%,80%,87%,76%,91%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,15-Apr-15,2.29,2.07,5.90%,15.70%,0.00%,49.80%,6.50%,36.50%,3.70%,82.70%,9.20%,1.20%,4.9,82.10%,89.70%,28.80%,96.00%
29Q272,George Washington Carver High School for the Scien,High School,509,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,84%,91%,79%,85%,76%,92%,Proficient,Developing,Proficient,Proficient,Proficient,"February 10-11, 2014",2.48,2.3,2.00%,13.40%,1.40%,48.20%,6.70%,35.60%,9.40%,75.60%,11.40%,1.80%,11,73.10%,90.10%,28.90%,95.50%
