DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M655,Life Sciences Secondary School,High School,697,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,90%,90%,77%,67%,65%,81%,Proficient,Proficient,Developing,Proficient,Developing,"December 5-6, 2013",2.38,2.28,7.00%,18.00%,5.30%,76.50%,10.60%,60.40%,4.30%,28.30%,62.20%,3.20%,0.5,73.90%,82.50%,52.90%,96.20%
03M283,Manhattan Theatre Lab High School,High School,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94%,97%,84%,94%,81%,96%,N/A,N/A,N/A,N/A,N/A,,2.23,2.15,15.10%,34.00%,0.00%,78.70%,13.20%,60.40%,1.90%,37.70%,56.60%,3.80%,3,100.00%,82.50%,48.20%,96.60%
03M299,"High School for Arts, Imagination and Inquiry",High School,447,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,75%,79%,69%,74%,86%,Proficient,Proficient,Proficient,Well Developed,Proficient,27-Feb-15,2.25,2.12,12.80%,22.60%,4.00%,75.40%,14.10%,58.60%,0.40%,38.50%,58.80%,0.90%,10,63.00%,83.00%,48.20%,96.70%
03M307,"Urban Assembly School for Media Studies, The",High School,412,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,90%,88%,81%,87%,73%,87%,Proficient,Developing,Proficient,Proficient,Proficient,"November 14-15, 2013",2.25,2.13,9.50%,20.60%,0.20%,72.30%,8.30%,57.30%,1.90%,36.40%,57.80%,1.70%,6.4,65.40%,84.10%,55.10%,98.10%
03M402,The Urban Assembly School for Green Careers,High School,353,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,78%,87%,76%,85%,72%,82%,Proficient,Proficient,Proficient,Proficient,Proficient,"March 25-26, 2014",2.22,2.13,16.10%,26.30%,1.10%,79.30%,12.20%,64.90%,1.10%,23.20%,72.00%,2.80%,1.9,31.30%,84.20%,50.00%,96.80%
03M403,The Global Learning Collaborative,High School,496,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,83%,73%,80%,76%,87%,81%,Proficient,Developing,Proficient,Proficient,Well Developed,5-May-15,2.28,2.16,13.30%,23.80%,1.20%,76.60%,13.30%,61.90%,2.40%,25.00%,66.30%,5.40%,2.8,73.50%,87.20%,36.80%,96.50%
03M415,Wadleigh Secondary School for the Performing & Vis,High School,445,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,86%,77%,82%,71%,77%,82%,Developing,Developing,Proficient,Proficient,Proficient,18-Dec-14,2.28,2.08,4.80%,22.10%,9.80%,79.10%,15.10%,63.10%,1.80%,52.00%,44.20%,1.00%,3.4,80.60%,78.20%,50.60%,96.80%
03M417,FRANK McCOURT HIGH SCHOOL,High School,387,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,92%,98%,86%,95%,80%,93%,Well Developed,Well Developed,Proficient,Proficient,Well Developed,9-Feb-15,2.89,2.65,1.30%,17.60%,0.30%,44.40%,3.10%,31.30%,8.80%,15.80%,40.10%,31.80%,5,69.20%,93.80%,15.60%,97.00%
03M479,Beacon High School,High School,1285,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,88%,92%,92%,86%,75%,92%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,17-Dec-14,3.53,3.26,0.10%,5.80%,0.00%,27.80%,1.20%,15.60%,8.90%,13.70%,23.80%,51.80%,10.9,86.40%,96.40%,5.50%,98.20%
03M485,Fiorello H. LaGuardia High School of Music & Art a,High School,2635,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Exceeding Target,79%,70%,81%,52%,67%,71%,Proficient,Proficient,Proficient,Well Developed,Proficient,31-Mar-15,3.58,3.35,0.00%,2.30%,0.00%,25.30%,0.90%,13.20%,19.40%,11.30%,19.40%,45.30%,1.8,91.90%,95.40%,9.30%,96.50%
03M492,"High School for Law, Advocacy and Community Justic",High School,510,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,90%,90%,78%,85%,72%,86%,Proficient,Well Developed,Well Developed,Proficient,Well Developed,13-Jan-15,2.43,2.28,5.90%,16.30%,4.50%,75.40%,12.20%,59.60%,2.40%,42.00%,52.70%,2.20%,3.8,74.40%,84.50%,43.10%,96.60%
03M494,High School of Arts and Technology,High School,594,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,N/A,N/A,Approaching Target,75%,64%,73%,51%,69%,73%,Developing,Developing,Developing,Developing,Developing,21-Nov-14,2.25,2.17,10.60%,22.10%,4.70%,77.50%,15.50%,59.80%,3.90%,32.50%,59.30%,2.90%,12.9,85.70%,76.70%,63.90%,93.70%
03M541,Manhattan / Hunter Science High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,91%,90%,89%,68%,90%,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,16-Jan-15,3.26,3.2,0.00%,9.30%,0.00%,48.30%,2.70%,31.30%,25.90%,16.40%,37.90%,13.10%,1.8,88.50%,97.60%,5.50%,95.60%
03M859,Special Music School,High School,231,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,96%,97%,91%,95%,91%,95%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,28-Oct-14,3.11,2.95,1.10%,14.10%,0.00%,25.30%,4.30%,17.40%,18.50%,21.70%,15.20%,29.30%,5.2,57.10%,96.00%,8.60%,97.90%
03M860,Frederick Douglass Academy II Secondary School,High School,411,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,76%,76%,81%,72%,76%,84%,Proficient,Developing,Proficient,Proficient,Well Developed,14-Nov-14,2.14,2.02,8.00%,21.70%,0.00%,78.60%,13.00%,60.10%,2.20%,67.80%,26.30%,1.90%,4.9,40.00%,79.60%,58.90%,98.00%
04M372,ESPERANZA PREPARATORY ACADEMY,High School,507,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,N/A,87%,77%,84%,72%,77%,85%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 10- 11, 2013",2.15,2.15,41.80%,21.90%,8.90%,83.60%,25.30%,64.60%,1.30%,13.10%,83.10%,2.10%,0.1,43.60%,85.30%,51.00%,96.90%
04M409,Coalition School for Social Change,High School,283,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,84%,89%,83%,81%,75%,92%,Developing,Developing,Developing,Proficient,Developing,22-Apr-15,2.12,2.03,9.90%,34.30%,2.50%,82.20%,12.40%,67.80%,4.20%,41.00%,50.20%,3.50%,3.8,90.90%,79.50%,59.10%,96.30%
04M435,Manhattan Center for Science and Mathematics,High School,1603,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,92%,92%,85%,83%,65%,86%,Proficient,Well Developed,Well Developed,Well Developed,Proficient,"May 5-7, 2014",3.05,3.14,3.40%,6.60%,0.10%,67.80%,6.10%,51.60%,19.20%,20.90%,54.10%,4.20%,8,77.80%,93.40%,18.10%,97.80%
04M495,Park East High School,High School,413,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,95%,91%,90%,73%,95%,Proficient,Developing,Developing,Well Developed,Proficient,12-Mar-15,2.44,2.35,1.90%,14.80%,0.00%,74.90%,7.30%,59.60%,4.80%,27.60%,63.70%,1.70%,10,89.30%,91.80%,24.80%,97.60%
04M555,Central Park East High School,High School,466,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,87%,94%,91%,93%,73%,96%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,18-Mar-15,2.71,2.59,3.00%,13.70%,0.40%,74.20%,7.90%,58.40%,7.30%,24.50%,63.30%,3.90%,10,74.20%,94.30%,16.70%,98.10%
04M610,Young Women's Leadership School,High School,480,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,90%,97%,87%,92%,72%,94%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,29-Apr-15,2.85,2.8,0.90%,17.50%,0.00%,72.20%,7.40%,53.40%,8.90%,27.90%,57.40%,3.40%,8,62.10%,94.80%,16.30%,96.50%
04M680,"Heritage School, The",High School,322,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,84%,90%,73%,86%,76%,87%,Developing,Developing,Proficient,Proficient,Proficient,17-Apr-15,2.2,2.06,5.90%,29.20%,0.00%,80.60%,14.00%,65.20%,1.20%,32.30%,63.70%,1.90%,3.6,68.00%,82.70%,52.20%,92.30%
05M157,The Urban Assembly School for Global Commerce,High School,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84%,96%,82%,93%,88%,94%,Proficient,Developing,Proficient,Proficient,Proficient,25-Feb-15,2.22,2.07,9.10%,27.40%,2.40%,81.70%,16.50%,68.30%,2.40%,43.90%,49.40%,1.20%,2,26.70%,89.10%,35.50%,97.20%
05M304,Mott Hall High School,High School,428,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,78%,81%,81%,72%,83%,85%,Developing,Developing,Proficient,Proficient,Proficient,12-Nov-14,2.22,2.15,11.20%,23.60%,2.80%,80.50%,9.60%,65.70%,0.90%,38.30%,59.10%,0.70%,4.8,72.70%,86.80%,41.20%,96.00%
05M362,Columbia Secondary School,High School,659,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,87%,92%,88%,90%,84%,93%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,21-Nov-14,3.45,3,0.00%,3.20%,0.00%,50.70%,3.20%,35.20%,13.70%,22.00%,48.10%,14.80%,3.9,66.70%,95.70%,13.10%,97.20%
05M367,Academy for Social Action: A College Board School,High School,234,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,85%,94%,74%,88%,81%,89%,Proficient,Developing,Proficient,Proficient,Proficient,"April 28-29, 2014",2.07,1.96,18.90%,27.60%,6.50%,79.70%,17.10%,60.40%,0.50%,46.50%,49.30%,2.80%,4.6,61.10%,70.90%,68.10%,93.80%
05M369,Urban Assembly School for the Performing Arts,High School,358,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,80%,87%,83%,86%,72%,90%,Proficient,Developing,Proficient,Proficient,Proficient,25-Mar-15,2.22,2.11,4.70%,20.70%,1.10%,77.50%,12.60%,63.40%,0.80%,52.20%,43.00%,1.40%,0.9,56.50%,81.00%,62.80%,96.70%
05M469,Choir Academy of Harlem,High School,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81%,88%,79%,89%,91%,93%,Developing,Developing,Developing,Proficient,Proficient,7-Jan-15,2.34,2.11,0.00%,20.00%,0.00%,83.20%,20.00%,60.00%,0.00%,78.00%,20.00%,2.00%,0.8,100.00%,68.20%,80.00%,97.00%
05M499,Frederick Douglass Academy,High School,1428,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,89%,86%,79%,75%,78%,85%,Proficient,Developing,Proficient,Well Developed,Proficient,"April 28-29, 2014",2.51,2.46,1.80%,10.30%,1.00%,70.80%,9.50%,50.50%,1.70%,70.40%,23.20%,1.40%,3.7,84.30%,89.10%,30.50%,95.70%
05M670,Thurgood Marshall Academy for Learning and Social,High School,561,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,79%,90%,79%,82%,74%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"March 19-20, 2014",2.46,2.31,1.80%,17.60%,0.30%,73.20%,6.30%,57.20%,1.30%,77.60%,19.60%,0.80%,4,86.80%,92.40%,20.60%,95.00%
05M685,Bread & Roses Integrated Arts High School,High School,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88%,85%,81%,81%,87%,88%,Developing,Developing,Developing,Developing,Developing,12-Nov-14,2.03,1.96,15.00%,37.00%,19.00%,81.20%,11.00%,68.00%,0.00%,52.00%,48.00%,0.00%,4.4,85.70%,75.20%,70.50%,94.70%
05M692,"High School for Mathematics, Science and Engineeri",High School,470,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,93%,90%,90%,89%,75%,90%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,8-Jan-15,3.7,3.83,0.20%,3.80%,0.40%,39.70%,3.20%,25.10%,38.50%,9.60%,21.70%,26.80%,3.7,96.90%,96.40%,8.50%,98.10%
06M211,Inwood Early College for Health and Information Te,High School,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91%,92%,89%,96%,79%,95%,Proficient,Developing,Developing,Proficient,Developing,15-May-15,2.58,2.61,8.00%,13.80%,0.00%,70.80%,6.90%,57.50%,4.60%,21.80%,67.80%,3.40%,1,71.40%,91.90%,23.60%,98.50%
06M293,City College Academy of the Arts,High School,587,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Exceeding Target,85%,79%,88%,67%,71%,84%,Proficient,Developing,Developing,Proficient,Proficient,25-Nov-14,2.82,2.92,2.30%,13.20%,0.00%,70.80%,5.60%,49.90%,0.90%,3.80%,94.10%,1.20%,10,87.80%,94.30%,16.30%,97.80%
06M346,Community Health Academy of the Heights,High School,629,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,87%,95%,89%,91%,80%,95%,Proficient,Developing,Proficient,Proficient,Well Developed,30-Apr-15,2.22,2.1,21.90%,20.80%,1.60%,85.00%,14.50%,68.80%,0.00%,4.90%,91.80%,2.70%,4.1,68.00%,81.20%,50.60%,97.30%
06M348,Washington Heights Expeditionary Learning School,High School,705,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,83%,87%,89%,76%,79%,92%,Proficient,Proficient,Proficient,Well Developed,Well Developed,18-Mar-15,2.36,2.51,14.70%,23.20%,0.30%,84.00%,13.10%,68.90%,0.30%,3.80%,94.80%,0.50%,9,83.90%,85.50%,43.60%,96.00%
06M462,The College Academy,High School,491,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,84%,90%,81%,81%,78%,90%,Proficient,Proficient,Proficient,Proficient,Proficient,19-Nov-14,2.05,2.05,44.40%,21.00%,4.30%,83.80%,16.90%,69.00%,0.20%,9.00%,89.20%,0.60%,4.3,86.20%,85.20%,44.50%,95.90%
06M463,High School for Media and Communications,High School,479,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,76%,78%,81%,68%,79%,85%,Proficient,Developing,Proficient,Proficient,Proficient,"October 29-30, 2013",2.18,2.09,33.80%,19.80%,3.50%,83.20%,19.00%,67.20%,1.90%,13.80%,82.50%,1.30%,7,78.60%,82.60%,49.00%,95.50%
06M467,High School for Law and Public Service,High School,671,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,87%,86%,81%,84%,88%,91%,Proficient,Developing,Proficient,Proficient,Proficient,4-Dec-14,2.22,2.12,27.40%,20.70%,8.00%,79.90%,14.20%,63.50%,0.40%,16.80%,80.80%,1.60%,15.8,92.70%,87.60%,38.40%,95.80%
06M468,High School for Health Careers and Sciences,High School,605,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,80%,74%,81%,67%,89%,83%,Proficient,Developing,Developing,Proficient,Proficient,11-Feb-15,2.2,2.12,30.70%,18.20%,0.20%,83.80%,20.50%,65.30%,1.30%,15.90%,79.80%,1.50%,2.4,67.60%,85.70%,44.50%,96.00%
06M540,A. Philip Randolph Campus High School,High School,1354,Meeting Target,Meeting Target,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,85%,84%,86%,81%,76%,88%,Proficient,Developing,Proficient,Proficient,Proficient,16-Apr-15,2.5,2.37,6.90%,14.10%,3.30%,77.20%,10.30%,61.90%,4.90%,32.00%,59.70%,1.70%,3.6,78.30%,86.10%,39.60%,95.40%
06M552,Gregorio Luperon High School for Science and Mathe,High School,504,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,94%,93%,92%,91%,82%,96%,Developing,Developing,Developing,Well Developed,Proficient,1-May-15,1.76,2.03,83.30%,1.60%,0.00%,82.30%,31.00%,55.80%,0.00%,0.00%,100.00%,0.00%,15.4,90.00%,91.40%,24.10%,96.70%
07X221,South Bronx Preparatory: A College Board School,High School,654,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,89%,92%,89%,87%,74%,91%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,14-Jan-15,2.34,2.21,2.80%,21.20%,0.30%,87.20%,9.60%,70.00%,1.70%,25.20%,70.30%,1.40%,8,61.70%,89.60%,35.70%,97.00%
07X223,M.S. 223 The Laboratory School of Finance and Tech,High School,502,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Approaching Target,Approaching Target,N/A,84%,76%,85%,71%,75%,82%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 17-18, 2013",2.5,2.5,6.10%,20.10%,0.00%,86.60%,4.20%,73.40%,0.00%,20.60%,78.50%,0.90%,12,50.00%,93.60%,19.80%,96.80%
07X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83%,89%,75%,90%,81%,89%,Proficient,Proficient,Proficient,Proficient,Proficient,11-May-15,2.25,2.13,11.30%,17.70%,0.90%,81.70%,12.60%,65.40%,2.20%,35.50%,58.90%,1.70%,2,31.30%,84.30%,50.60%,95.70%
07X334,International Community High School,High School,463,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,90%,96%,88%,93%,85%,97%,Developing,Proficient,Proficient,Proficient,Proficient,17-Mar-14,1.73,1.91,86.00%,3.20%,0.40%,79.00%,24.80%,49.70%,6.50%,14.00%,76.70%,1.30%,8.5,71.40%,83.40%,42.90%,97.80%
07X427,Community School for Social Justice,High School,324,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,88%,92%,92%,93%,87%,96%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,14-Apr-15,2.15,2.09,9.90%,25.00%,1.50%,84.10%,15.10%,68.50%,1.50%,29.60%,67.30%,1.20%,12.9,66.70%,79.40%,61.40%,96.90%
07X473,Mott Haven Village Preparatory High School,High School,364,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,80%,79%,85%,72%,80%,86%,Developing,Developing,Developing,Proficient,Proficient,6-Feb-15,2.15,2.08,9.60%,21.70%,0.30%,82.40%,11.30%,66.50%,0.30%,25.30%,73.60%,0.50%,2.3,65.40%,79.90%,57.40%,96.60%
07X495,University Heights Secondary School,High School,486,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,94%,92%,88%,89%,80%,92%,Proficient,Proficient,Proficient,Well Developed,Proficient,19-Mar-15,2.73,2.64,2.10%,8.20%,0.40%,80.50%,7.20%,66.00%,3.10%,30.00%,64.60%,1.60%,5.8,85.00%,92.70%,22.70%,96.80%
07X500,Hostos-Lincoln Academy of Science,High School,544,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,83%,79%,76%,71%,77%,86%,Proficient,Developing,Proficient,Proficient,Developing,15-May-15,2.64,2.58,2.90%,16.70%,0.60%,79.90%,7.90%,59.40%,3.80%,22.50%,69.90%,1.50%,10.9,80.60%,91.50%,24.00%,93.80%
07X520,Foreign Language Academy of Global Studies,High School,145,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,84%,77%,77%,69%,69%,81%,Developing,Developing,Developing,Developing,Proficient,14-May-15,2.06,1.94,21.40%,31.70%,15.90%,86.00%,15.20%,69.70%,2.80%,26.90%,67.60%,1.40%,0.9,92.30%,79.40%,60.90%,96.00%
07X522,Bronx Design and Construction Academy,High School,563,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Not Meeting Target,86%,94%,82%,92%,77%,94%,Proficient,Developing,Proficient,Well Developed,Proficient,"March 19-20, 2014",2.2,2.19,14.20%,25.20%,3.90%,82.40%,9.60%,68.00%,1.40%,24.00%,70.50%,3.40%,0.8,58.50%,81.40%,56.90%,97.30%
07X527,Bronx Leadership Academy II High School,High School,495,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,71%,87%,89%,84%,75%,94%,Proficient,Proficient,Proficient,Well Developed,Well Developed,12-Feb-15,2.13,2.12,13.90%,26.70%,3.40%,83.10%,10.90%,68.90%,2.20%,32.30%,63.40%,0.80%,4.9,56.80%,85.40%,46.30%,96.80%
07X547,New Explorers High School,High School,475,N/A,N/A,Meeting Target,N/A,N/A,N/A,Approaching Target,70%,73%,79%,84%,77%,83%,Proficient,Developing,Proficient,Proficient,Proficient,14-Jan-15,2.11,2.01,10.30%,26.10%,11.80%,85.50%,14.50%,70.50%,0.40%,31.40%,67.60%,0.40%,5.5,78.10%,80.90%,47.90%,96.60%
07X548,Urban Assembly School for Careers in Sports,High School,587,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,93%,96%,85%,93%,72%,94%,Proficient,Developing,Proficient,Proficient,Proficient,3-Feb-15,2.39,2.31,7.20%,23.30%,0.50%,82.00%,11.60%,67.50%,0.20%,28.60%,69.50%,1.40%,4.4,85.30%,80.10%,48.90%,96.10%
07X551,The Urban Assembly Bronx Academy of Letters,High School,591,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,80%,79%,76%,72%,77%,83%,Proficient,Developing,Proficient,Well Developed,Proficient,"May 20-21, 2014",2.15,2.02,13.60%,25.00%,11.10%,88.20%,7.50%,71.10%,0.90%,30.40%,66.90%,1.50%,0.9,36.70%,82.80%,48.40%,97.20%
07X600,Alfred E. Smith Career and Technical Education Hig,High School,375,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,85%,77%,75%,77%,74%,84%,Developing,Developing,Developing,Proficient,Proficient,5-May-15,2.08,2.03,19.20%,28.30%,6.90%,79.80%,14.70%,64.00%,1.10%,29.10%,68.30%,0.80%,3,80.60%,83.00%,52.30%,95.10%
07X655,Samuel Gompers Career and Technical Education High,High School,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82%,86%,74%,73%,84%,88%,N/A,N/A,N/A,N/A,N/A,,2.15,2.1,10.30%,32.10%,1.30%,83.30%,10.30%,66.70%,0.00%,32.10%,64.10%,2.60%,12,91.70%,70.00%,83.90%,93.60%
07X670,Health Opportunities High School,High School,554,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,85%,87%,84%,85%,87%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"March 11-12, 2014",2.18,2.12,7.80%,19.30%,8.10%,83.40%,11.70%,68.80%,3.10%,36.10%,57.90%,1.80%,3.6,66.70%,79.00%,57.10%,97.10%
08X269,Bronx Studio School for Writers and Artists,High School,565,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,81%,84%,79%,82%,75%,91%,Proficient,Developing,Proficient,Proficient,Proficient,14-May-15,2.29,2.24,12.00%,24.00%,5.50%,85.30%,11.10%,72.90%,1.20%,20.30%,76.90%,0.60%,11,51.20%,86.40%,45.20%,97.30%
08X282,Women's Academy of Excellence,High School,345,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,84%,84%,66%,78%,66%,81%,Proficient,Developing,Developing,Proficient,Proficient,19-May-15,2.21,2.09,4.60%,22.00%,1.20%,76.70%,13.00%,59.10%,3.50%,50.10%,41.20%,2.60%,11,73.10%,78.70%,64.10%,95.70%
08X293,Renaissance High School for Musical Theater & Tech,High School,444,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,82%,93%,84%,92%,68%,93%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,22-Apr-15,2.28,2.09,3.60%,24.10%,0.50%,73.00%,7.70%,59.70%,3.20%,27.90%,61.00%,7.20%,7,71.40%,83.10%,49.60%,97.50%
08X295,Gateway School for Environmental Research and Tech,High School,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90%,85%,82%,86%,85%,90%,N/A,N/A,N/A,N/A,N/A,,2.11,1.97,17.10%,37.10%,1.40%,70.70%,8.60%,54.30%,1.40%,31.40%,64.30%,2.90%,0.9,88.90%,81.40%,67.60%,95.30%
08X305,Pablo Neruda Academy,High School,315,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,82%,91%,78%,90%,75%,93%,Developing,Developing,Developing,Proficient,Proficient,13-Nov-14,2.05,1.96,18.40%,35.60%,2.20%,80.30%,15.60%,61.90%,4.40%,26.00%,67.60%,1.30%,1.3,63.30%,84.20%,44.70%,97.00%
08X312,Millennium Art Academy,High School,487,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,85%,86%,81%,84%,75%,93%,Developing,Developing,Developing,Proficient,Proficient,5-Dec-14,2.26,2.11,4.70%,29.40%,0.60%,78.50%,9.20%,64.10%,2.30%,30.00%,65.10%,1.80%,3,81.30%,85.50%,43.60%,96.20%
08X320,Pelham Lab High School,High School,211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79%,75%,76%,77%,77%,84%,Proficient,Developing,Developing,Proficient,Proficient,24-Nov-14,2.17,2.15,14.70%,24.60%,0.50%,78.30%,10.40%,63.00%,7.60%,33.20%,52.60%,5.20%,2,47.10%,90.30%,34.50%,98.40%
