,ID,School Name,Total Grads % of cohort
7803,09X365_2015,ACADEMY FOR LANGUAGE AND TECHNOLOGY,92.9
7877,09X403_2015,BRONX INTERNATIONAL HIGH SCHOOL,70.4
7929,09X404_2015,SCHOOL FOR EXCELLENCE,53.6
7981,09X412_2015,BRONX HIGH SCHOOL OF BUSINESS,37.8
8033,09X413_2015,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,83.7
8080,09X414_2015,JONATHAN LEVIN HS FOR MEDIA AND COMMUNICATIONS,41.2
8132,09X505_2015,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,71.4
8184,09X517_2015,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,60.9
8231,09X525_2015,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,53.3
8283,09X543_2015,HIGH SCHOOL FOR VIOLIN AND DANCE,58.3
8344,10X141_2015,RIVERDALE / KINGSBRIDGE ACADEMY MIDDLE SCHOOL / HI,79.6
8395,10X213_2015,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,67.4
8441,10X225_2015,THEATRE ARTS PRODUCTION COMPANY SCHOOL,75.5
8481,10X237_2015,THE MARIE CURIE SCHOOL FOR MEDICINE NURSING AND HE,66.7
8525,10X243_2015,WEST BRONX ACADEMY FOR THE FUTURE,77.5
8583,10X268_2015,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,56.2
8625,10X284_2015,BRONX SCHOOL OF LAW AND FINANCE,57.3
8677,10X319_2015,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,11.1
8729,10X342_2015,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,62.5
8767,10X351_2015,BRONX COLLABORATIVE HIGH SCHOOL,
8791,10X368_2015,INTECH ACADEMY MS / HIGH SCHOOL 368,80.0
8837,10X374_2015,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,80.0
8876,10X397_2015,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,20.7
8939,10X433_2015,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,53.5
8991,10X434_2015,BELMONT PREPARATORY HIGH SCHOOL,55.3
9055,10X437_2015,FORDHAM HIGH SCHOOL FOR THE ARTS,86.5
9104,10X438_2015,FORDHAM LEADERSHIP ACADEMY,41.4
9155,10X439_2015,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,70.8
9207,10X440_2015,DEWITT CLINTON HIGH SCHOOL,41.4
9259,10X442_2015,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC THE,91.0
9305,10X445_2015,BRONX HIGH SCHOOL OF SCIENCE,99.1
9393,10X477_2015,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,92.0
9440,10X524_2015,CROTONA INTERNATIONAL HIGH SCHOOL,39.0
9462,10X546_2015,BRONX THEATRE HIGH SCHOOL,61.8
9511,10X549_2015,DISCOVERY HIGH SCHOOL,57.1
9554,10X565_2015,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,
9568,10X660_2015,GRACE DODGE CAREER AND TECHNICAL EDUCATION HS,51.0
9616,10X696_2015,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,99.0
9665,11X249_2015,BRONX HEALTH SCIENCES HIGH SCHOOL,96.5
9708,11X253_2015,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,51.8
9757,11X265_2015,BRONX LAB SCHOOL,74.8
9804,11X270_2015,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,58.4
9847,11X275_2015,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,73.8
9899,11X288_2015,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,82.2
9948,11X290_2015,BRONX ACADEMY OF HEALTH CAREERS,66.2
10000,11X299_2015,ASTOR COLLEGIATE ACADEMY,66.9
10090,11X418_2015,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,49.6
10163,11X455_2015,HARRY S TRUMAN HIGH SCHOOL,61.7
10211,11X508_2015,BRONXDALE HIGH SCHOOL,78.0
10231,11X509_2015,HIGH SCHOOL OF LANGUAGE AND INNOVATION,65.2
10251,11X513_2015,NEW WORLD HIGH SCHOOL,88.1
10297,11X514_2015,THE BRONXWOOD PREPARATORY ACADEMY,61.9
10384,11X542_2015,PELHAM PREPARATORY ACADEMY,84.7
10437,11X544_2015,HIGH SCHOOL FOR CONTEMPORARY ARTS,55.6
10488,11X545_2015,BRONX AEROSPACE HIGH SCHOOL,68.0
10536,12X242_2015,MOTT HALL V,72.2
10594,12X248_2015,METROPOLITAN HIGH SCHOOL THE,59.8
10640,12X251_2015,EXPLORATIONS ACADEMY HS,55.4
10720,12X267_2015,BRONX LATIN,84.5
10757,12X271_2015,EAST BRONX ACADEMY FOR THE FUTURE,69.4
10805,12X278_2015,PEACE AND DIVERSITY ACADEMY,22.8
10851,12X321_2015,CROTONA ACADEMY HIGH SCHOOL,11.4
10899,12X372_2015,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,77.1
10923,12X388_2015,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,80.9
10953,12X446_2015,ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,16.5
10986,12X478_2015,THE CINEMA SCHOOL,94.7
11008,12X479_2015,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,44.0
11037,12X480_2015,BRONX REGIONAL HIGH SCHOOL,7.5
11084,12X511_2015,BRONX ENVISION ACADEMY,69.1
11101,12X521_2015,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,72.0
11125,12X550_2015,HIGH SCHOOL OF WORLD CULTURES,47.5
11203,12X682_2015,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,65.7
11255,12X684_2015,WINGS ACADEMY,53.8
11348,12X692_2015,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,49.5
11400,13K265_2015,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,49.3
11467,13K350_2015,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,53.1
11509,13K412_2015,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL BCAM,67.8
11550,13K419_2015,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE TECH,69.2
11602,13K430_2015,BROOKLYN TECHNICAL HIGH SCHOOL,94.4
11654,13K439_2015,BROOKLYN INTERNATIONAL HIGH SCHOOL,86.6
11706,13K483_2015,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,84.8
11752,13K499_2015,ACORN COMMUNITY HIGH SCHOOL,45.3
11800,13K509_2015,FREEDOM ACADEMY HS,
11846,13K527_2015,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR Y,84.9
11874,13K553_2015,BROOKLYN ACADEMY HIGH SCHOOL,25.7
11926,13K575_2015,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,18.3
11978,13K595_2015,BEDFORD ACADEMY HIGH SCHOOL,96.2
12027,13K605_2015,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,63.9
12079,13K616_2015,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,4.2
12121,13K670_2015,BENJAMIN BANNEKER ACADEMY,91.2
12169,13K674_2015,CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING ARCHIT,86.0
12197,14K071_2015,JUAN MOREL CAMPOS SECONDARY SCHOOL,42.4
12249,14K322_2015,FOUNDATIONS ACADEMY,33.3
12294,14K449_2015,BROOKLYN LATIN SCHOOL THE,96.8
12327,14K454_2015,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,64.2
12370,14K474_2015,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,66.4
12423,14K477_2015,EAST WILLIAMSBURG SCHOLARS ACADEMY,42.9
12475,14K478_2015,THE HIGH SCHOOL FOR ENTERPRISE BUSINESS AND TECHNO,68.0
12528,14K488_2015,BROOKLYN PREPARATORY HIGH SCHOOL,87.0
12572,14K558_2015,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,93.2
12622,14K561_2015,WILLIAMSBURG PREPARATORY SCHOOL,90.1
12667,14K586_2015,LYONS COMMUNITY SCHOOL,62.3
12704,14K610_2015,AUTOMOTIVE HIGH SCHOOL,45.8
12750,14K614_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,100.0
12765,14K632_2015,FRANCES PERKINS ACADEMY,63.4
12813,14K685_2015,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,66.1
12874,15K423_2015,BROOKLYN FRONTIERS HIGH SCHOOL,29.4
12891,15K429_2015,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,64.7
12943,15K448_2015,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,87.5
12992,15K462_2015,JOHN JAY SCHOOL FOR LAW,88.0
13044,15K463_2015,SECONDARY SCHOOL FOR JOURNALISM,56.3
13096,15K464_2015,PARK SLOPE COLLEGIATE,64.7
13147,15K497_2015,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,66.1
13199,15K519_2015,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.9
13282,15K529_2015,WEST BROOKLYN COMMUNITY HIGH SCHOOL,13.6
13370,15K592_2015,KHALIL GIBRAN INTERNATIONAL ACADEMY,
13395,15K656_2015,BROOKLYN HIGH SCHOOL OF THE ARTS,89.5
13446,15K667_2015,SUNSET PARK HIGH SCHOOL,63.3
13474,15K684_2015,MILLENNIUM BROOKLYN HS,94.7
13495,15K698_2015,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,3.4
13547,16K393_2015,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,60.7
13590,16K455_2015,BOYS AND GIRLS HIGH SCHOOL,50.0
13642,16K498_2015,BROOKLYN HS FOR LAW AND TECHNOLOGY,69.7
13693,16K594_2015,GOTHAM PROFESSIONAL ARTS ACADEMY,54.7
13724,16K669_2015,RESEARCH AND SERVICE HIGH SCHOOL,18.5
13747,16K688_2015,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,58.3
13780,17K122_2015,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL P,57.7
13797,17K382_2015,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,50.5
13837,17K408_2015,ACADEMY OF HOSPITALITY AND TOURISM,61.3
13939,17K489_2015,WEB DUBOIS ACADEMIC HIGH SCHOOL,8.0
13991,17K524_2015,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,67.3
14041,17K528_2015,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,55.7
14090,17K531_2015,SCHOOL FOR HUMAN RIGHTS THE,74.0
14139,17K533_2015,SCHOOL FOR DEMOCRACY AND LEADERSHIP,54.8
14185,17K537_2015,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,76.8
14234,17K539_2015,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,70.1
