,ID,School Name,Total Grads % of cohort
3839,03M415_2017,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,72.5
3887,03M417_2017,FRANK MCCOURT HIGH SCHOOL,95.4
3990,03M485_2017,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AN,96.1
4052,03M492_2017,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTICE,69.7
4101,03M494_2017,HIGH SCHOOL OF ARTS AND TECHNOLOGY,70.2
4153,03M505_2017,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,17.8
4205,03M541_2017,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,100.0
4243,03M859_2017,SPECIAL MUSIC SCHOOL,98.0
4253,03M860_2017,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,68.4
4298,04M372_2017,ESPERANZA PREPARATORY ACADEMY,72.5
4320,04M409_2017,COALITION SCHOOL FOR SOCIAL CHANGE,67.9
4371,04M435_2017,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,94.8
4424,04M495_2017,PARK EAST HIGH SCHOOL,95.5
4476,04M555_2017,CENTRAL PARK EAST HIGH SCHOOL,97.3
4528,04M610_2017,YOUNG WOMEN'S LEADERSHIP SCHOOL,100.0
4622,04M680_2017,HERITAGE SCHOOL THE,63.6
4689,05M157_2017,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,67.2
4706,05M285_2017,HARLEM RENAISSANCE HIGH SCHOOL,7.4
4759,05M304_2017,MOTT HALL HIGH SCHOOL,63.8
4803,05M362_2017,COLUMBIA SECONDARY SCHOOL,96.7
4821,05M367_2017,ACADEMY FOR SOCIAL ACTION,34.2
4854,05M369_2017,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,71.4
4944,05M499_2017,FREDERICK DOUGLASS ACADEMY,75.8
4996,05M670_2017,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,81.2
5099,05M692_2017,HIGH SCHOOL FOR MATHEMATICS SCIENCE AND ENGINEERIN,98.1
5146,06M293_2017,CITY COLLEGE ACADEMY OF THE ARTS,94.9
5177,06M346_2017,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,77.8
5207,06M348_2017,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,72.2
5235,06M423_2017,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,29.8
5265,06M462_2017,THE COLLEGE ACADEMY,50.5
5317,06M463_2017,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,46.2
5370,06M467_2017,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,70.9
5422,06M468_2017,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,57.5
5474,06M540_2017,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,70.4
5526,06M552_2017,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,59.8
5579,07X221_2017,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,92.3
5620,07X223_2017,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,81.1
5632,07X259_2017,HERO HIGH HEALTH EDUCATION AND RESEARCH OCCUPATION,61.5
5646,07X334_2017,INTERNATIONAL COMMUNITY HIGH SCHOOL,61.1
5681,07X379_2017,JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.2
5729,07X381_2017,BRONX HAVEN HS,3.8
5773,07X427_2017,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,58.3
5830,07X473_2017,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,50.5
5882,07X495_2017,UNIVERSITY HEIGHTS SECONDARY SCHOOL,98.3
5934,07X500_2017,HOSTOSLINCOLN ACADEMY OF SCIENCE,76.7
5943,07X547_2017,NEW EXPLORERS HIGH SCHOOL,46.0
5988,07X520_2017,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,
6036,07X522_2017,BRONX DESIGN AND CONSTRUCTION ACADEMY,50.7
6061,07X527_2017,BRONX LEADERSHIP ACADEMY II HS,71.0
6162,07X548_2017,CAREERS IN SPORTS HIGH SCHOOL,67.9
6214,07X551_2017,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,79.5
6259,07X557_2017,MOTT HAVEN COMMUNITY HIGH SCHOOL,13.7
6288,07X600_2017,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH,75.9
6387,07X670_2017,HEALTH OPPORTUNITIES HIGH SCHOOL,49.3
6437,08X269_2017,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,60.0
6465,08X282_2017,WOMEN'S ACADEMY OF EXCELLENCE,67.2
6508,08X293_2017,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH,66.7
6607,08X305_2017,PABLO NERUDA ACADEMY,48.6
6657,08X312_2017,MILLENNIUM ART ACADEMY,70.0
6699,08X320_2017,PELHAM LAB HIGH SCHOOL,67.3
6716,08X332_2017,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,51.6
6751,08X348_2017,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,62.3
6758,08X349_2017,BRONX RIVER HIGH SCHOOL,67.0
6767,08X367_2017,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECHNOLOGY,56.8
6791,08X376_2017,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,61.8
6795,08X377_2017,BRONX COMMUNITY HIGH SCHOOL,10.4
6864,08X405_2017,HERBERT H LEHMAN HIGH SCHOOL,56.0
6911,08X432_2017,BRONX BRIDGES HIGH SCHOOL,46.6
6953,08X452_2017,GOTHAM COLLABORATIVE HIGH SCHOOL,61.9
7005,08X519_2017,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,36.3
7054,08X530_2017,LONGWOOD PREPARATORY ACADEMY,46.2
7103,08X537_2017,BRONX ARENA HIGH SCHOOL,10.0
7170,08X558_2017,WESTCHESTER SQUARE ACADEMY,71.3
7181,08X559_2017,SCHOOL FOR TOURISM AND HOSPITALITY,53.4
7239,08X561_2017,BRONX COMPASS HIGH SCHOOL,46.7
7325,09X227_2017,BRONX COLLEGIATE ACADEMY,63.4
7375,09X231_2017,EAGLE ACADEMY FOR YOUNG MEN,63.0
7457,09X241_2017,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,85.3
7490,09X250_2017,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,84.8
7536,09X252_2017,MOTT HALL BRONX HIGH SCHOOL,78.6
7579,09X260_2017,BRONX CENTER FOR SCIENCE AND MATHEMATICS,88.4
7622,09X263_2017,VALIDUS PREPARATORY ACADEMY,55.7
7665,09X276_2017,LEADERSHIP INSTITUTE,36.2
7709,09X297_2017,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,69.7
7757,09X324_2017,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,77.2
7776,09X327_2017,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,83.0
7794,09X329_2017,DREAMYARD PREPARATORY SCHOOL,64.1
7831,09X350_2017,NEW DIRECTIONS SECONDARY SCHOOL,
7842,09X365_2017,ACADEMY FOR LANGUAGE AND TECHNOLOGY,96.1
7875,09X403_2017,BRONX INTERNATIONAL HIGH SCHOOL,77.8
7927,09X404_2017,SCHOOL FOR EXCELLENCE,51.6
7979,09X412_2017,BRONX HIGH SCHOOL OF BUSINESS,57.4
8031,09X413_2017,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,89.4
8130,09X505_2017,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,79.8
8182,09X517_2017,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,62.5
8229,09X525_2017,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,53.8
8281,09X543_2017,HIGH SCHOOL FOR VIOLIN AND DANCE,65.8
8324,09X564_2017,CLAREMONT INTERNATIONAL HS,55.8
8342,10X141_2017,RIVERDALE / KINGSBRIDGE ACADEMY MIDDLE SCHOOL / HI,89.8
8393,10X213_2017,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,73.8
8439,10X225_2017,THEATRE ARTS PRODUCTION COMPANY SCHOOL,72.9
8479,10X237_2017,THE MARIE CURIE SCHOOL FOR MEDICINE NURSING AND HE,55.1
8523,10X243_2017,WEST BRONX ACADEMY FOR THE FUTURE,85.7
8568,10X264_2017,BRONX ACADEMY FOR SOFTWARE ENGINEERING BASE,74.0
8581,10X268_2017,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,54.0
8623,10X284_2017,BRONX SCHOOL OF LAW AND FINANCE,73.3
8675,10X319_2017,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,8.2
8727,10X342_2017,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,69.5
8765,10X351_2017,BRONX COLLABORATIVE HIGH SCHOOL,22.9
8777,10X353_2017,WORLD VIEW HIGH SCHOOL,85.7
8789,10X368_2017,INTECH ACADEMY MS / HIGH SCHOOL 368,84.7
8835,10X374_2017,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,90.9
8874,10X397_2017,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,21.2
8937,10X433_2017,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,78.6
8989,10X434_2017,BELMONT PREPARATORY HIGH SCHOOL,87.8
9053,10X437_2017,FORDHAM HIGH SCHOOL FOR THE ARTS,92.1
9102,10X438_2017,FORDHAM LEADERSHIP ACADEMY,65.2
9153,10X439_2017,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,84.3
9205,10X440_2017,DEWITT CLINTON HIGH SCHOOL,45.7
9257,10X442_2017,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC THE,94.0
9303,10X445_2017,BRONX HIGH SCHOOL OF SCIENCE,99.7
9391,10X477_2017,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,89.4
9438,10X524_2017,CROTONA INTERNATIONAL HIGH SCHOOL,59.0
9460,10X546_2017,BRONX THEATRE HIGH SCHOOL,60.5
9509,10X549_2017,DISCOVERY HIGH SCHOOL,73.8
9552,10X565_2017,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,61.5
9614,10X696_2017,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,98.7
9663,11X249_2017,BRONX HEALTH SCIENCES HIGH SCHOOL,94.5
9706,11X253_2017,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,64.6
9755,11X265_2017,BRONX LAB SCHOOL,54.8
9802,11X270_2017,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,59.4
9845,11X275_2017,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,57.0
9897,11X288_2017,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,88.0
9946,11X290_2017,BRONX ACADEMY OF HEALTH CAREERS,75.0
9998,11X299_2017,ASTOR COLLEGIATE ACADEMY,75.4
10088,11X418_2017,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,61.6
10161,11X455_2017,HARRY S TRUMAN HIGH SCHOOL,74.1
10209,11X508_2017,BRONXDALE HIGH SCHOOL,76.9
10229,11X509_2017,HIGH SCHOOL OF LANGUAGE AND INNOVATION,66.7
10249,11X513_2017,NEW WORLD HIGH SCHOOL,84.1
10295,11X514_2017,THE BRONXWOOD PREPARATORY ACADEMY,59.6
10382,11X542_2017,PELHAM PREPARATORY ACADEMY,89.4
10435,11X544_2017,HIGH SCHOOL FOR CONTEMPORARY ARTS,70.7
10486,11X545_2017,BRONX AEROSPACE HIGH SCHOOL,64.8
10534,12X242_2017,MOTT HALL V,79.5
10592,12X248_2017,METROPOLITAN HIGH SCHOOL THE,45.1
10638,12X251_2017,EXPLORATIONS ACADEMY HS,65.8
10718,12X267_2017,BRONX LATIN,95.8
10755,12X271_2017,EAST BRONX ACADEMY FOR THE FUTURE,76.3
10849,12X321_2017,CROTONA ACADEMY HIGH SCHOOL,
10897,12X372_2017,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,68.1
10921,12X388_2017,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,73.1
10951,12X446_2017,ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,14.5
10984,12X478_2017,THE CINEMA SCHOOL,86.8
11006,12X479_2017,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,39.5
11035,12X480_2017,BRONX REGIONAL HIGH SCHOOL,7.7
11082,12X511_2017,BRONX ENVISION ACADEMY,64.8
11099,12X521_2017,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,60.4
11123,12X550_2017,HIGH SCHOOL OF WORLD CULTURES,38.5
11201,12X682_2017,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,66.1
11253,12X684_2017,WINGS ACADEMY,46.7
11346,12X692_2017,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,62.5
11398,13K265_2017,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,63.6
11465,13K350_2017,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,75.5
11507,13K412_2017,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL BCAM,69.7
11548,13K419_2017,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE TECH,74.1
11600,13K430_2017,BROOKLYN TECHNICAL HIGH SCHOOL,95.5
11652,13K439_2017,BROOKLYN INTERNATIONAL HIGH SCHOOL,77.7
11704,13K483_2017,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,90.0
11750,13K499_2017,ACORN COMMUNITY HIGH SCHOOL,76.1
11844,13K527_2017,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR Y,76.8
11872,13K553_2017,BROOKLYN ACADEMY HIGH SCHOOL,24.1
11924,13K575_2017,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,11.1
11976,13K595_2017,BEDFORD ACADEMY HIGH SCHOOL,97.6
12025,13K605_2017,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,71.4
12077,13K616_2017,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,9.1
12119,13K670_2017,BENJAMIN BANNEKER ACADEMY,87.6
12167,13K674_2017,CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING ARCHIT,82.6
12195,14K071_2017,JUAN MOREL CAMPOS SECONDARY SCHOOL,64.9
12247,14K322_2017,FOUNDATIONS ACADEMY,0.0
12292,14K449_2017,BROOKLYN LATIN SCHOOL THE,98.8
12325,14K454_2017,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,60.7
12368,14K474_2017,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,67.3
12421,14K477_2017,EAST WILLIAMSBURG SCHOLARS ACADEMY,53.6
12473,14K478_2017,THE HIGH SCHOOL FOR ENTERPRISE BUSINESS AND TECHNO,69.2
12526,14K488_2017,BROOKLYN PREPARATORY HIGH SCHOOL,89.8
12570,14K558_2017,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,95.4
12620,14K561_2017,WILLIAMSBURG PREPARATORY SCHOOL,94.0
12665,14K586_2017,LYONS COMMUNITY SCHOOL,64.2
12702,14K610_2017,AUTOMOTIVE HIGH SCHOOL,73.8
12748,14K614_2017,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,100.0
12763,14K632_2017,FRANCES PERKINS ACADEMY,72.4
12811,14K685_2017,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,56.1
12872,15K423_2017,BROOKLYN FRONTIERS HIGH SCHOOL,40.5
12889,15K429_2017,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,70.6
12941,15K448_2017,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,90.9
12990,15K462_2017,JOHN JAY SCHOOL FOR LAW,79.8
13042,15K463_2017,SECONDARY SCHOOL FOR JOURNALISM,61.5
13094,15K464_2017,PARK SLOPE COLLEGIATE,62.9
13145,15K497_2017,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,75.0
13197,15K519_2017,COBBLE HILL SCHOOL OF AMERICAN STUDIES,74.1
13280,15K529_2017,WEST BROOKLYN COMMUNITY HIGH SCHOOL,9.3
13368,15K592_2017,KHALIL GIBRAN INTERNATIONAL ACADEMY,62.7
13393,15K656_2017,BROOKLYN HIGH SCHOOL OF THE ARTS,73.5
13444,15K667_2017,SUNSET PARK HIGH SCHOOL,76.8
13472,15K684_2017,MILLENNIUM BROOKLYN HS,97.6
13493,15K698_2017,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,6.6
13545,16K393_2017,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,59.1
13588,16K455_2017,BOYS AND GIRLS HIGH SCHOOL,61.5
13640,16K498_2017,BROOKLYN HS FOR LAW AND TECHNOLOGY,67.5
13691,16K594_2017,GOTHAM PROFESSIONAL ARTS ACADEMY,44.2
13722,16K669_2017,RESEARCH AND SERVICE HIGH SCHOOL,18.8
13745,16K688_2017,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,65.7
13771,16K765_2017,NELSON MANDELA HIGH SCHOOL,
13778,17K122_2017,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL P,75.0
13795,17K382_2017,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,61.9
13835,17K408_2017,ACADEMY OF HOSPITALITY AND TOURISM,50.9
13937,17K489_2017,WEB DUBOIS ACADEMIC HIGH SCHOOL,7.3
13989,17K524_2017,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,61.3
14039,17K528_2017,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,54.2
14088,17K531_2017,SCHOOL FOR HUMAN RIGHTS THE,69.5
14137,17K533_2017,SCHOOL FOR DEMOCRACY AND LEADERSHIP,49.1
14183,17K537_2017,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,72.2
14232,17K539_2017,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,82.9
14282,17K543_2017,SCIENCE TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH,97.6
14377,17K546_2017,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,94.6
14423,17K547_2017,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,68.0
14472,17K548_2017,BROOKLYN SCHOOL FOR MUSIC & THEATRE,69.5
14524,17K568_2017,BROWNSVILLE ACADEMY HIGH SCHOOL,21.3
14576,17K590_2017,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,96.2
14628,17K600_2017,CLARA BARTON HIGH SCHOOL,69.1
14720,17K745_2017,BROOKLYN INSTITUTE FOR LIBERAL ARTS,91.8
14734,17K751_2017,ACADEMY FOR HEALTH CAREERS,79.0
14842,18K563_2017,IT TAKES A VILLAGE ACADEMY,89.2
14882,18K566_2017,BROOKLYN GENERATION SCHOOL,59.3
14923,18K567_2017,BROOKLYN THEATRE ARTS HIGH SCHOOL,74.7
14958,18K569_2017,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,82.9
14997,18K576_2017,VICTORY COLLEGIATE HIGH SCHOOL,71.9
15038,18K578_2017,BROOKLYN BRIDGE ACADEMY,21.0
15082,18K589_2017,ARTS & MEDIA PREPARATORY ACADEMY,57.6
15117,18K617_2017,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,62.1
15150,18K629_2017,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,69.3
15184,18K633_2017,HIGH SCHOOL FOR MEDICAL PROFESSIONS,87.9
15213,18K635_2017,OLYMPUS ACADEMY,20.2
15253,18K637_2017,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,80.6
15284,18K642_2017,URBAN ACTION ACADEMY,49.4
15319,18K673_2017,EAST BROOKLYN COMMUNITY HIGH SCHOOL,30.0
15359,19K404_2017,ACADEMY FOR YOUNG WRITERS,83.1
15402,19K409_2017,EAST NEW YORK FAMILY ACADEMY,88.9
15502,19K502_2017,FDNY  CAPTAIN VERNON A RICHARDS HIGH SCHOOL FOR FI,69.6
15551,19K504_2017,HIGH SCHOOL FOR CIVIL RIGHTS,55.3
15600,19K507_2017,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,49.5
15649,19K510_2017,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,60.6
15701,19K583_2017,MULTICULTURAL HIGH SCHOOL,62.0
15735,19K615_2017,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,63.8
15786,19K618_2017,ACADEMY OF INNOVATIVE TECHNOLOGY,71.6
15822,19K639_2017,BROOKLYN LAB SCHOOL,53.3
15855,19K659_2017,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,68.3
15897,19K660_2017,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,62.5
15947,19K683_2017,THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS WR,63.5
15973,19K764_2017,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,
15986,20K445_2017,NEW UTRECHT HIGH SCHOOL,77.2
16038,20K485_2017,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,86.5
16090,20K490_2017,FORT HAMILTON HIGH SCHOOL,70.4
16142,20K505_2017,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,61.3
16192,20K609_2017,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,92.9
16220,21K337_2017,INTERNATIONAL HS AT LAFAYETTE,63.0
16260,21K344_2017,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,61.5
16306,21K348_2017,HIGH SCHOOL OF SPORTS MANAGEMENT,59.3
16370,21K410_2017,ABRAHAM LINCOLN HIGH SCHOOL,67.1
16418,21K468_2017,KINGSBOROUGH EARLY COLLEGE SCHOOL,95.0
16443,21K525_2017,EDWARD R MURROW HIGH SCHOOL,74.8
16495,21K540_2017,JOHN DEWEY HIGH SCHOOL,75.9
16546,21K559_2017,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,88.9
16584,21K572_2017,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,82.6
16627,21K620_2017,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,67.5
16679,21K690_2017,BROOKLYN STUDIO SECONDARY SCHOOL,82.2
16731,21K728_2017,LIBERATION DIPLOMA PLUS,14.9
16779,22K405_2017,MIDWOOD HIGH SCHOOL,87.9
16831,22K425_2017,JAMES MADISON HIGH SCHOOL,79.2
16933,22K535_2017,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,94.1
16984,22K555_2017,BROOKLYN COLLEGE ACADEMY,97.2
17046,22K611_2017,ORIGINS HIGH SCHOOL,74.5
17054,22K630_2017,PROFESSIONAL PATHWAYS HIGH SCHOOL,21.0
17078,23K493_2017,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,59.5
17127,23K514_2017,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,65.9
17177,23K643_2017,BROOKLYN DEMOCRACY ACADEMY,15.6
17213,23K644_2017,EAGLE ACADEMY FOR YOUNG MEN II,65.3
17256,23K646_2017,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,20.2
17299,23K647_2017,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,21.9
17342,23K697_2017,TEACHERS PREPARATORY HIGH SCHOOL,64.6
17384,24Q236_2017,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,58.6
17397,24Q264_2017,ACADEMY OF FINANCE AND ENTERPRISE,92.9
17440,24Q267_2017,HIGH SCHOOL OF APPLIED COMMUNICATION,80.2
17478,24Q293_2017,CIVIC LEADERSHIP ACADEMY,94.0
17506,24Q296_2017,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,84.7
17543,24Q299_2017,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,99.3
17584,24Q455_2017,NEWTOWN HIGH SCHOOL,63.2
17635,24Q485_2017,GROVER CLEVELAND HIGH SCHOOL,58.6
17688,24Q520_2017,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY,66.1
17740,24Q530_2017,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,78.4
17792,24Q550_2017,HIGH SCHOOL FOR ARTS AND BUSINESS,89.6
17844,24Q560_2017,ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND T,91.7
17890,24Q585_2017,MASPETH HIGH SCHOOL,97.7
17908,24Q600_2017,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,81.0
17962,24Q610_2017,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,94.3
18014,24Q744_2017,VOYAGES PREPARATORY,13.2
18049,25Q240_2017,VERITAS ACADEMY,76.5
18052,25Q241_2017,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,93.9
18059,25Q252_2017,QUEENS SCHOOL OF INQUIRY THE,92.2
18088,25Q263_2017,FLUSHING INTERNATIONAL HIGH SCHOOL,57.6
18131,25Q281_2017,EASTWEST SCHOOL OF INTERNATIONAL STUDIES,93.0
18171,25Q285_2017,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,96.6
18211,25Q425_2017,JOHN BOWNE HIGH SCHOOL,69.8
18263,25Q460_2017,FLUSHING HIGH SCHOOL,57.5
18315,25Q525_2017,TOWNSEND HARRIS HIGH SCHOOL,99.2
18364,25Q540_2017,QUEENS ACADEMY HIGH SCHOOL,7.3
18416,25Q670_2017,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,74.6
18468,25Q792_2017,NORTH QUEENS COMMUNITY HIGH SCHOOL,8.4
18518,26Q415_2017,BENJAMIN N CARDOZO HIGH SCHOOL,88.1
18570,26Q430_2017,FRANCIS LEWIS HIGH SCHOOL,83.4
18622,26Q435_2017,MARTIN VAN BUREN HIGH SCHOOL,62.8
18675,26Q495_2017,BAYSIDE HIGH SCHOOL,95.9
18728,26Q566_2017,QUEENS HIGH SCHOOL OF TEACHING LIBERAL ARTS AND TH,91.1
18777,27Q260_2017,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,41.3
18818,27Q261_2017,VOYAGES PREP  SOUTH QUEENS,22.5
18843,27Q262_2017,CHANNEL VIEW SCHOOL FOR RESEARCH,91.1
18885,27Q302_2017,QUEENS HIGH SCHOOL FOR INFORMATION RESEARCH AND TE,79.2
18919,27Q308_2017,ROBERT H GODDARD HIGH SCHOOL OF COMMUNICATION ARTS,92.0
18945,27Q309_2017,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,72.5
18972,27Q323_2017,SCHOLARS' ACADEMY,100.0
18999,27Q324_2017,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,70.6
19020,27Q334_2017,EPIC HIGH SCHOOL  NORTH,
19025,27Q351_2017,ROCKAWAY COLLEGIATE HIGH SCHOOL,63.4
19047,27Q400_2017,AUGUST MARTIN HIGH SCHOOL,60.2
19167,27Q475_2017,RICHMOND HILL HIGH SCHOOL,67.5
19219,27Q480_2017,JOHN ADAMS HIGH SCHOOL,66.9
19270,27Q650_2017,HIGH SCHOOL FOR CONSTRUCTION TRADES ENGINEERING AN,97.8
19300,28Q167_2017,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,97.0
19309,28Q284_2017,YORK EARLY COLLEGE ACADEMY,97.5
